Rk,Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk
1,2017,9/7/2017,,,,,,,,,
2,2017,9/17/2017,,,,,,,,,
3,2017,9/24/2017,,,,,,,,,
4,2017,10/2/2017,,,,,,,,,
5,2017,10/8/2017,,,,,,,,,
6,2017,10/15/2017,,,,,,,,,
7,2017,10/19/2017,,,,,,,,,
8,2017,10/30/2017,,,,,,,,,
9,2017,11/5/2017,,,,,,,,,
10,2017,11/19/2017,,,,,,,,,
11,2017,11/26/2017,,,,,,,,,
12,2017,12/3/2017,,,,,,,,,
13,2017,12/10/2017,,,,,,,,,
14,2017,12/16/2017,,,,,,,,,
15,2017,12/24/2017,,,,,,,,,
16,2017,12/31/2017,22.105,22,35,62.86,284,0,1,76.4,2
17,2018,9/9/2018,22.357,15,27,55.56,256,4,0,127.5,1
18,2018,9/16/2018,22.364,23,28,82.14,326,6,0,154.8,1
19,2018,9/23/2018,23.006,24,38,63.16,314,3,0,115.5,2
20,2018,10/1/2018,23.014,28,45,62.22,304,1,0,89.5,1
21,2018,10/7/2018,23.02,22,38,57.89,313,0,2,62.7,1
22,2018,10/14/2018,23.027,23,36,63.89,352,4,2,110,0
23,2018,10/21/2018,23.034,28,39,71.79,358,4,1,123.7,2
24,2018,10/28/2018,23.041,24,34,70.59,303,4,1,125,2
25,2018,11/4/2018,23.048,23,32,71.88,375,3,1,129,2
26,2018,11/11/2018,23.055,21,28,75,249,2,0,125.4,5
27,2018,11/19/2018,23.063,33,46,71.74,478,6,3,117.6,3
28,2018,12/2/2018,23.076,23,38,60.53,295,4,0,120,0
29,2018,12/9/2018,23.083,35,53,66.04,377,2,1,91.5,3
30,2018,12/13/2018,23.087,24,34,70.59,243,2,0,110.3,2
31,2018,12/23/2018,23.097,23,40,57.5,273,3,0,103.4,1
32,2018,12/30/2018,23.104,14,24,58.33,281,2,1,109.9,0
33,2019,9/8/2019,23.356,25,33,75.76,378,3,0,143.2,0
34,2019,9/15/2019,23.363,30,44,68.18,443,4,0,131.2,2
35,2019,9/22/2019,24.005,27,37,72.97,374,3,0,132,1
36,2019,9/29/2019,24.012,24,42,57.14,315,0,0,81,0
37,2019,10/6/2019,24.019,22,39,56.41,321,1,0,91.9,4
38,2019,10/13/2019,24.026,19,35,54.29,273,3,1,96.5,1
39,2019,10/17/2019,24.03,10,11,90.91,76,1,0,125.8,0
40,2019,10/27/2019,,,,,,,,,
41,2019,11/3/2019,,,,,,,,,
42,2019,11/10/2019,24.054,36,50,72,446,3,0,119.2,2
43,2019,11/18/2019,24.062,19,32,59.38,182,1,1,72.7,1
44,2019,12/1/2019,24.075,15,29,51.72,175,1,0,81.8,1
45,2019,12/8/2019,24.082,26,40,65,283,1,1,83.6,1
46,2019,12/15/2019,24.089,27,34,79.41,340,2,1,115.7,3
47,2019,12/22/2019,24.096,23,33,69.7,251,2,0,112.1,1
48,2019,12/29/2019,24.103,16,25,64,174,1,1,81.1,0
49,2020,9/10/2020,24.359,24,32,75,211,3,0,123.3,1
50,2020,9/20/2020,25.003,27,47,57.45,302,2,0,90.9,1
51,2020,9/28/2020,25.011,31,42,73.81,385,4,0,133.5,0
52,2020,10/5/2020,25.018,19,29,65.52,236,2,0,113.6,1
53,2020,10/11/2020,25.024,22,43,51.16,340,2,1,83.5,3
54,2020,10/19/2020,25.032,21,26,80.77,225,2,0,128.4,1
55,2020,10/25/2020,25.038,15,23,65.22,200,1,0,107.2,3
56,2020,11/1/2020,25.045,31,42,73.81,416,5,0,144.4,0
57,2020,11/8/2020,25.052,30,45,66.67,372,4,0,121.7,2
58,2020,11/22/2020,25.066,34,45,75.56,348,2,1,102.8,0
59,2020,11/29/2020,25.073,37,49,75.51,462,3,0,124.7,2
60,2020,12/6/2020,25.08,25,40,62.5,318,1,0,95.6,1
61,2020,12/13/2020,25.087,24,34,70.59,393,2,3,91.9,3
62,2020,12/20/2020,25.094,26,47,55.32,254,3,0,92,4
63,2020,12/27/2020,25.101,24,44,54.55,278,2,1,79.5,0
64,2020,1/3/2021,,,,,,,,,
65,2021,9/12/2021,25.36,27,36,75,337,3,0,131.4,2
66,2021,9/19/2021,26.002,24,31,77.42,343,3,1,131.5,0
67,2021,9/26/2021,26.009,27,44,61.36,260,3,2,81.6,2
68,2021,10/3/2021,26.016,24,30,80,278,5,1,131,1
69,2021,10/10/2021,26.023,33,54,61.11,272,2,2,70.9,2
70,2021,10/17/2021,26.03,32,47,68.09,397,2,2,90.5,3
71,2021,10/24/2021,26.037,20,35,57.14,206,0,1,62.3,4
72,2021,11/1/2021,26.045,29,48,60.42,275,1,1,74.6,2
73,2021,11/7/2021,26.051,20,37,54.05,166,1,0,74.8,1
74,2021,11/14/2021,26.058,35,50,70,406,5,0,127.6,0
75,2021,11/21/2021,26.065,23,37,62.16,260,0,1,71.9,3
76,2021,12/5/2021,26.079,15,29,51.72,184,0,1,57.3,1
77,2021,12/12/2021,26.086,20,24,83.33,258,2,0,139.2,3
78,2021,12/16/2021,26.09,31,47,65.96,410,3,1,105.8,1
79,2021,12/26/2021,26.1,23,30,76.67,258,3,0,135.1,2
80,2021,1/2/2022,26.107,26,35,74.29,259,2,0,113.9,0
81,2021,1/8/2022,26.113,27,44,61.36,270,2,0,93.9,1
82,2022,9/11/2022,26.359,30,39,76.92,360,5,0,144.2,0
83,2022,9/15/2022,26.363,24,35,68.57,235,2,0,106.2,1
84,2022,9/25/2022,27.008,20,35,57.14,262,1,1,78.5,1
85,2022,10/2/2022,27.015,23,37,62.16,249,3,1,97.7,3
86,2022,10/10/2022,27.023,29,43,67.44,292,4,0,117.6,3
87,2022,10/16/2022,27.029,25,40,62.5,338,2,2,85.2,3
88,2022,10/23/2022,27.036,25,34,73.53,423,3,1,132.4,1
89,2022,11/6/2022,27.05,43,68,63.24,446,1,1,80.9,4
90,2022,11/13/2022,27.057,26,35,74.29,331,4,1,129.6,0
91,2022,11/20/2022,27.064,20,34,58.82,329,3,0,120.8,1
92,2022,11/27/2022,27.071,27,42,64.29,320,1,1,85.4,0
93,2022,12/4/2022,27.078,16,27,59.26,223,1,0,98.2,2
94,2022,12/11/2022,27.085,28,42,66.67,352,3,3,86.6,2
95,2022,12/18/2022,27.092,36,41,87.8,336,2,0,117.1,2
96,2022,12/24/2022,27.098,16,28,57.14,224,2,0,106.8,1
97,2022,1/1/2023,27.106,29,42,69.05,328,3,1,106.1,0
98,2022,1/7/2023,27.112,18,26,69.23,202,1,0,105,2
99,2023,9/7/2023,27.355,21,39,53.85,226,2,1,77.5,0
100,2023,9/17/2023,28,29,41,70.73,305,2,1,98.1,1
101,2023,9/24/2023,28.007,24,33,72.73,272,3,0,127.3,0
102,2023,10/1/2023,28.014,18,30,60,203,1,2,63.6,1
103,2023,10/8/2023,28.021,31,41,75.61,281,2,0,109.9,2
104,2023,10/12/2023,28.025,30,40,75,306,1,1,94.4,2
105,2023,10/22/2023,28.035,32,42,76.19,424,4,1,129.5,1
106,2023,10/29/2023,28.042,24,38,63.16,240,0,2,59.1,3
107,2023,11/5/2023,28.049,20,30,66.67,185,2,0,105.6,2
108,2023,11/20/2023,28.064,24,43,55.81,177,2,1,71.6,1
109,2023,11/26/2023,28.07,27,34,79.41,298,2,0,122.8,1
110,2023,12/3/2023,28.077,21,33,63.64,210,1,1,79.1,3
111,2023,12/10/2023,28.084,25,43,58.14,271,1,1,74.9,1
112,2023,12/17/2023,28.091,27,37,72.97,305,2,2,92.7,3
113,2023,12/25/2023,28.099,27,44,61.36,235,1,1,73.6,4
114,2023,12/31/2023,28.105,21,29,72.41,245,1,0,109.1,2
115,2023,1/7/2024,,,,,,,,,
116,2024,9/5/2024,28.354,20,28,71.43,291,1,1,101.9,2
117,2024,9/15/2024,28.364,18,25,72,151,2,2,80.6,2
118,2024,9/22/2024,29.005,26,39,66.67,217,2,1,87.2,0
119,2024,9/29/2024,29.012,19,29,65.52,245,1,1,89,3
120,2024,10/7/2024,29.02,28,39,71.79,331,0,1,86.6,2
121,2024,10/20/2024,29.033,16,27,59.26,154,0,2,44.4,2
122,2024,10/27/2024,29.04,27,38,71.05,262,2,1,96.6,1
123,2024,11/4/2024,29.048,34,44,77.27,291,3,0,116.8,4
124,2024,11/10/2024,29.054,28,42,66.67,266,1,0,92,4
,,,,,,,,,,,
,,,,,,,,,,,
